Model,Mode,accuracy,Male,Female
ViT-B-16,OpenAI,0.9540,0.9610,0.9461,
ViT-B-16,Top 10,0.9550,0.9537,0.9564,
ViT-B-16,Top 17,0.9557,0.9563,0.9551,

ViT-B-32,OpenAI,0.9394,0.9513,0.9260,
ViT-B-32,Top 10,0.9407,0.9460,0.9347,
ViT-B-32,Avg Sum,0.9421,0.9472,0.9365,

ViT-L-14,OpenAI,0.9618,0.9603,0.9636,
ViT-L-14,Top 10,0.9621,0.9565,0.9684,
ViT-L-14,Top 13,0.9623,0.9570,0.9682,

ViT-H-14,OpenAI,0.9534,0.9498,0.9576,
ViT-H-14,Top 10,0.9549,0.9542,0.9556,
ViT-H-14,Top 7,0.9554,0.9563,0.9543,

ViT-g-14,OpenAI,0.9538,0.9475,0.9609,
ViT-g-14,Top 10,0.9554,0.9492,0.9622,
ViT-g-14,Top 2,0.9566,0.9570,0.9562,